train,test,model,brier,log_loss,roc_auc,accuracy,f1,n_train,n_test
2021-2022,2023,XGBoost,0.04820951343529329,0.15808746608423632,0.9852478219488983,0.9305135951661632,0.9333333333333333,11066,331
2021-2022,2023,Logistic,0.05287529673417006,0.17759427482498344,0.9805256607365107,0.9274924471299094,0.930635838150289,11066,331
2021-2023,2024,XGBoost,0.06683661258798747,0.2255665485820676,0.9714743589743591,0.9101382488479263,0.9157667386609071,7555,434
2021-2023,2024,Logistic,0.06886953824602496,0.22407757709115098,0.9697222222222223,0.8986175115207373,0.9039301310043668,7555,434
2021-2024,2025,XGBoost,0.0689363187661306,0.23327483408124294,0.9686408383613845,0.904572564612326,0.9117647058823529,7658,503
2021-2024,2025,Logistic,0.06839431246078075,0.22606401497918938,0.9686884725309621,0.8946322067594433,0.9016697588126159,7658,503
2021-2025,2026,XGBoost,0.06980373827136566,0.23652735233778666,0.9676081374679044,0.8888888888888888,0.873015873015873,7727,144
2021-2025,2026,Logistic,0.07942400610816763,0.2553355536729149,0.9579300809796563,0.875,0.8571428571428571,7727,144
